,starname,mass,radius,distance,gravity
0,Sun,1.989e+30,695700000.0,0.000015813,274.10478078144416
1,Sirius,4.1769e+30,1182690000.0,8.6,199.17648430485562
2,Canopus,2.9835e+31,49394700000.0,310,0.8156262074432974
3,Alpha Centauri,2.1879e+30,834840000.0,4.4,209.38559643026986
4,Arcturus,2.1879e+30,18088200000.0,37,0.44602848943726114
5,Vega,4.3758e+30,1878390000.0000002,25,82.72023562677326
6,Capella,5.1714e+30,8348400000.0,43,4.9491140974427426
7,Rigel,4.574699999999999e+31,54890730000.00001,860,1.0127224556237002
8,Procyon,2.9835e+30,1321830000.0,11.4,113.89395323328705
9,Betelgeuse,3.978e+31,660915000000.0,0640[1],0.006074344172441975
10,Achernar,1.33263e+31,6470010000.000001,144,21.233692117420226
11,Hadar,2.08845e+31,5983020000.0,390,38.914280667998426
12,Altair,3.5802e+30,1252260000.0,17,152.280433767469
13,Acrux,3.5801999999999996e+31,6191730000.0,320,62.288676354828866
14,Aldebaran,2.9835e+30,30610800000.0,65,0.2123745718864495
15,Antares,2.3868e+31,473076000000.0,600,0.007113445868030558
16,Spica,2.2734269999999998e+31,5196879000.0,260,56.14636402516638
17,Pollux,3.7790999999999997e+30,6122160000.000001,34,6.725194776404233
18,Fomalhaut,3.7790999999999997e+30,1252260000.0,25,160.7404578656617
19,Deneb,3.7791e+31,141227100000.0,"2,600",0.12637993726728236
20,Mimosa,3.1824e+31,5843880000.0,350,62.15527908876285
21,Regulus,7.558199999999999e+30,2156670000.0,77,108.38690603220478
22,Adhara,2.48625e+31,9739800000.0,430,17.481172243714553
23,Shaula,2.88405e+31,6122160000.000001,700,51.32385487255862
24,Castor,5.5692e+30,1669680000.0,52,133.24537954653536
